UNIVERSIDAD,CENTRO,TÍTULO,"TIPO DE UNIV/ CENTRO","OFERTA DE PLAZAS 2019/2020","NOTA DE CORTE 2019/2020","NOTA MEDIA DE ADMISIÓN 2019/2020","RENDIM. MEDIO 2018/2019","CRÉDITOS NECESAR.","PRECIO DEL CRÉDITO 2019/2020" 
"Universidad Jaume I de Castellón","Escuela Superior de Tecnología y Ciencias Experimentales","Grado en Ingeniería Mecánica",Pública / Propio,80,"6,58","7,79",63 %,240,"20,27 €" 
Universidad de Lleida,"Facultad de Educación, Psicología y Trabajo Social","Grado en Trabajo Social",Pública / Propio,80,"6,58","7,72",79 %,240,"25,27 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea",Facultad de Bellas Artes,Grado en Arte,Pública / Propio,150,"6,57","8,63",86 %,240,"19,19 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Escuela de Ingeniería de Vitoria-Gasteiz","Grado en Ingeniería Informática de Gestión y Sistemas de Información",Pública / Propio,45,"6,57","9,13",62 %,240,"19,19 €" 
"Universitat Politècnica de València","Escuela Técnica Superior de Arquitectura","Grado en Fundamentos de la Arquitectura",Pública / Propio,300,"6,57","9,08",79 %,300,"20,27 €" 
"Universidad Rey Juan Carlos","Escuela Técnica Superior de Ingeniería de Telecomunicación. Campus de Fuenlabrada","Grado en Ingeniería Telemática",Pública / Propio,20,"6,555","7,66",42 %,240,"24,55 €" 
"Universidad de Extremadura","Facultad de Filosofía y Letras","Grado en Lenguas y Literaturas Modernas- Francés",Pública / Propio,40,"6,55",n/d,68 %,240,"10,31 €" 
"Universidad Complutense de Madrid",Facultad de Filología,"Grado en Estudios Ingleses",Pública / Propio,200,"6,548","8,95",83 %,240,"21,39 €" 
"Universitat de les Illes Balears","Escuela Politécnica Superior",Grado en Matemáticas,Pública / Propio,45,"6,542","9,61",54 %,240,"13,53 €" 
Universidad de Girona,"Escuela Politécnica Superior","Grado en Ingeniería Informática",Pública / Propio,100,"6,542","8,4",72 %,240,"39,53 €" 
Universidad de Oviedo,"Facultad de Formación del Profesorado y Educación","Grado en Maestro en Educación Infantil",Pública / Propio,148,"6,54","7,33",89 %,240,"12,30 €" 
"Universitat de València (Estudi General)","Facultad de Filología, Traducción y Comunicación","Grado en Filología Catalana",Pública / Propio,70,"6,54","9,31",68 %,240,"14,96 €" 
Universidad de Sevilla,Facultad de Química,Grado en Química,Pública / Propio,140,"6,54","10,42",62 %,240,"12,62 €" 
"Universitat Politècnica de València","Escuela Politécnica Superior de Alcoy","Grado en Ingeniería en Diseño Industrial y Desarrollo de Productos",Pública / Propio,90,"6,54","8,03",90 %,240,"20,27 €" 
"Universidad de La Laguna",Facultad de Educación,"Grado en Maestro en Educación Primaria",Pública / Propio,260,"6,53","9,28",83 %,240,"10,16 €" 
"Universidad Complutense de Madrid","Facultad de Comercio y Turismo",Grado en Turismo,Pública / Propio,240,"6,528","7,71",78 %,240,"21,39 €" 
"Universidad de La Rioja","Facultad de Letras y de la Educación","Grado en Educación Infantil",Pública / Propio,75,"6,518","7,6",86 %,240,"14,60 €" 
"Universidad Autónoma de Barcelona",Facultad de Derecho,"Grado en Relaciones Laborales",Pública / Propio,125,"6,514","7,82",82 %,240,"25,27 €" 
"Universidad de La Rioja","Facultad de Ciencias Jurídicas y Sociales","Grado en Trabajo Social",Pública / Propio,50,"6,512","8,18",83 %,240,"14,60 €" 
"Universidad de Cantabria","Escuela Técnica Superior de Náutica","Grado en Ingeniería Marítima",Pública / Propio,40,"6,509","6,99",73 %,240,"15,02 €" 
"Universidad de Córdoba","Facultad de Ciencias de la Educación","Grado en Educación Infantil",Pública / Propio,195,"6,5","8,36",94 %,240,"12,62 €" 
"Universidad de Salamanca",Facultad de Educación,"Grado en Maestro en Educación Infantil",Pública / Propio,75,"6,5","8,16",89 %,240,"15,22 €" 
Universidad de Vigo,"Escuela de Ingeniería Industrial","Grado en Ingeniería en Organización Industrial",Pública / Propio,64,"6,5","9,39",57 %,240,"13,93 €" 
Universidad de Sevilla,"Escuela Técnica Superior de Ingeniería","Grado en Ingeniería de las Tecnologías de Telecomunicación",Pública / Propio,130,"6,481","9,94",52 %,240,"12,62 €" 
"Universidad Pompeu Fabra",Escuela de Ingeniería,"Grado en Ingeniería de Redes de Telecomunicación",Pública / Propio,40,"6,48","8,27",59 %,240,"39,53 €" 
Universidad de Alcalá,"Escuela Politécnica Superior","Grado en Ingeniería en Sistemas de Información",Pública / Propio,-,-,"7,38",,240,"24,55 €" 
"Universidad de La Rioja","Facultad de Letras y de la Educación","Grado en Estudios Ingleses",Pública / Propio,25,"6,471","8,94",83 %,240,"14,60 €" 
"Universidad de Extremadura","Facultad de Formación del Profesorado","Grado en Educación Social",Pública / Propio,85,"6,47","8,76",95 %,240,"12,33 €" 
"Universidad Autónoma de Barcelona","Facultad de Filosofía y Letras",Grado en Musicología,Pública / Propio,60,"6,47","8,38",81 %,240,"25,27 €" 
"Universidad de A Coruña",Facultad de Derecho,Grado en Derecho,Pública / Propio,119,"6,469","9,12",76 %,240,"9,85 €" 
"Universidad Complutense de Madrid","Facultad de Ciencias Políticas y Sociología",Grado en Sociología,Pública / Propio,165,"6,46","8,19",80 %,240,"21,39 €" 
"Universidad de La Laguna","Escuela Superior de Ingeniería y Tecnología","Grado en Ingeniería Electrónica Industrial y Automática",Pública / Propio,80,"6,46","9,18",66 %,240,"14,59 €" 
"Universidad Complutense de Madrid","Facultad de Óptica y Optometría","Grado en Óptica y Optometría",Pública / Propio,170,"6,457","7,99",73 %,240,"26,14 €" 
"Universidad de Cantabria","Facultad de Filosofía y Letras","Grado en Geografía y Ordenación del Territorio",Pública / Propio,60,"6,456","8,5",78 %,240,"11,14 €" 
"Universidad de Santiago de Compostela","Escuela Técnica Superior de Ingeniería","Grado en Ingeniería Química",Pública / Propio,60,"6,456","10,06",76 %,240,"13,93 €" 
"Universidad de Castilla- La Mancha","Facultad de Educación de Toledo","Grado en Maestro en Educación Primaria",Pública / Propio,150,"6,446","8,73",88 %,240,"14,58 €" 
Universidad de Murcia,Facultad de Letras,"Grado en Filología Clásica",Pública / Propio,60,"6,444","10,86",67 %,240,"14,38 €" 
"Universidad Politécnica de Cartagena","Facultad de Ciencias de la Empresa",Grado en Turismo,Pública / Propio,50,"6,42",n/d,64 %,240,"14,38 €" 
"Universidad de Granada","Facultad de Ciencias Económicas y Empresariales",Grado en Economía,Pública / Propio,237,"6,4","8,83",64 %,240,"12,62 €" 
Universidad de Málaga,"Facultad de Ciencias Económicas y Empresariales",Grado en Economía,Pública / Propio,120,"6,4","9,27",67 %,240,"12,62 €" 
"Universitat Politècnica de València","Facultad de Administración y Dirección de Empresas","Grado en Gestión y Administración Pública",Pública / Propio,80,"6,4","7,86",79 %,240,"14,96 €" 
"Universitat de València (Estudi General)","Centro Florida Universitaria",Grado en Turismo,Pública / Adscrito,40,"6,4",n/d,82 %,240, 
Universidad de Sevilla,"Centro Universitario de Osuna","Grado en Ciencias de la Actividad Física y del Deporte",Pública / Adscrito,70,"6,394",9,83 %,240, 
"Universidad Autónoma de Barcelona",Facultad de Ciencias,"Grado en Estadística Aplicada",Pública / Propio,40,"6,392","8,15",,240,"35,77 €" 
Universidad de Huelva,"Facultad de Educación, Psicología y Ciencias del Deporte",Grado en Psicología,Pública / Propio,165,"6,385","7,74",82 %,240,"12,62 €" 
"Universidad de Zaragoza","Facultad de Ciencias Humanas y de la Educación","Grado en Magisterio en Educación Infantil",Pública / Propio,120,"6,382","8,19",87 %,240,"16,20 €" 
Universidad de Alicante,"Facultad de Filosofía y Letras",Grado en Turismo,Pública / Propio,240,"6,38","7,73",75 %,240,"16,41 €" 
"Universidad de Zaragoza","Facultad de Economía y Empresa","Grado en Marketing e Investigación de Mercados",Pública / Propio,150,"6,371","9,13",71 %,240,"16,20 €" 
"Universidad de Extremadura","Facultad de Ciencias de la Documentación y la Comunicación",Grado en Periodismo,Pública / Propio,-,-,"8,73",83 %,240,"12,33 €" 
"Universidad Miguel Hernández de Elche","Facultad de Bellas Artes de Altea",Grado en Bellas Artes,Pública / Propio,110,"6,36","7,79",87 %,240,"16,41 €" 
"Universidad de Granada","Facultad de Ciencias Económicas y Empresariales","Grado en Finanzas y Contabilidad",Pública / Propio,132,"6,36","8,46",59 %,240,"12,62 €" 
"Universidad de Salamanca",Facultad de Educación,"Grado en Maestro en Educación Primaria",Pública / Propio,115,"6,356","8,25",89 %,240,"15,22 €" 
"Universidad de Granada","Facultad de Filosofía y Letras",Grado en Filosofía,Pública / Propio,80,"6,35","8,99",73 %,240,"12,62 €" 
"Universidad Rovira i Virgili","Facultad de Medicina y Ciencias de la Salud","Grado en Nutrición Humana y Dietética",Pública / Propio,80,"6,333","8,21",81 %,240,"35,77 €" 
"Universidad Rey Juan Carlos","Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles","Grado en Ciencias Experimentales",Pública / Propio,60,"6,318","7,91",61 %,240,"21,39 €" 
Universidad de Oviedo,"Escuela de Ingeniería de Minas, Energía y Materiales de Oviedo","Grado en Ingeniería de Tecnologías Mineras",Pública / Propio,45,"6,316","8,41",78 %,240,"12,30 €" 
"Universidad Carlos III de Madrid","Facultad de Humanidades, Comunicación y Documentación","Grado en Humanidades",Pública / Propio,30,"6,31","9,87",84 %,240,"21,39 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Fuenlabrada","Grado en Contabilidad y Finanzas",Pública / Propio,65,"6,31","6,89",68 %,240,"21,39 €" 
"Universidad Rey Juan Carlos","Escuela Superior de Ciencias Experimentales y Tecnología. Campus de Móstoles","Grado en Ciencias Ambientales",Pública / Propio,60,"6,31","7,25",63 %,240,"26,14 €" 
"Universidad Politécnica de Catalunya","Escuela Técnica Superior de Arquitectura","Grado en Estudios de Arquitectura",Pública / Propio,350,"6,31","8,92",80 %,300,"35,77 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Alcorcón","Grado en Lengua de Signos Española y Comunidad Sorda",Pública / Propio,30,"6,3",n/d,88 %,240,"21,39 €" 
"Universidad Miguel Hernández de Elche","Facultad de Ciencias Sociales y Jurídicas",Grado en Derecho,Pública / Propio,180,"6,3","7,09",54 %,240,"13,86 €" 
"Universidad Pública de Navarra","Facultad de Ciencias Humanas, Sociales y de la Educación","Grado en Historia y Patrimonio",Pública / Propio,50,"6,297","9,44",,240,"16,25 €" 
"Universitat de les Illes Balears",Facultad de Ciencias,Grado en Biología,Pública / Propio,90,"6,292","8,42",74 %,240,"18,50 €" 
"Universidad de Granada",Facultad de Ciencias,Grado en Química,Pública / Propio,100,"6,29","10,18",64 %,240,"12,62 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Relaciones Laborales y Trabajo Social","Grado en Relaciones Laborales y Recursos Humanos",Pública / Propio,90,"6,278","7,83",73 %,240,"14,08 €" 
"Universidad Politécnica de Cartagena","Escuela Técnica Superior de Ingeniería Industrial","Grado en Ingeniería Electrónica Industrial y Automática",Pública / Propio,90,"6,27","9,15",58 %,240,"16,78 €" 
"Universidad Pública de Navarra","Facultad de Ciencias Económicas y Empresariales","Grado en Administración y Dirección de Empresas",Pública / Propio,185,"6,264","8,92",74 %,240,"16,25 €" 
Universidad de León,Facultad de Educación,"Grado en Educación Social",Pública / Propio,40,"6,253","7,82",93 %,240,"14,05 €" 
"Universidad de Cantabria",Facultad de Educación,"Grado en Magisterio en Educación Infantil",Pública / Propio,130,"6,25","8,57",88 %,240,"11,14 €" 
"Universitat de València (Estudi General)","Centro Universitario EDEM","Grado en Administración y Dirección de Empresas",Pública / Adscrito,100,"6,24","8,96",72 %,240, 
"Universidad de Extremadura",Facultad de Ciencias,"Grado en Ciencias Ambientales",Pública / Propio,50,"6,24","7,65",66 %,240,"15,70 €" 
Universidad de Jaén,"Facultad de Humanidades y Ciencias de la Educación",Grado en Psicología,Pública / Propio,210,"6,239","7,52",80 %,240,"12,62 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Economía y Empresa",Grado en Economía,Pública / Propio,115,"6,23","8,34",65 %,240,"14,39 €" 
"Universidad Miguel Hernández de Elche","Instituto Mediterráneo de Estudios de Protocolo","Grado en Organización de Eventos, Protocolo y Relaciones Institucionales",Pública / Adscrito,70,"6,23","6,64",92 %,240, 
Universidad de Cádiz,Facultad de Ciencias,Grado en Química,Pública / Propio,45,"6,223","9,85",67 %,240,"12,62 €" 
"Universitat de València (Estudi General)","Escuela Técnica Superior de Ingeniería","Grado en Ingeniería Electrónica de Telecomunicación",Pública / Propio,64,"6,22","6,89",63 %,240,"20,27 €" 
"Universidad Rovira i Virgili","Escuela Técnica Superior de Ingeniería","Grado en Ingeniería Informática",Pública / Propio,80,"6,214","8,77",66 %,240,"39,53 €" 
"Universidad Pompeu Fabra",Facultad de Derecho,"Grado en Relaciones Laborales",Pública / Propio,180,"6,212","7,99",88 %,240,"25,27 €" 
"Universidad de Extremadura","Facultad de Filosofía y Letras","Grado en Estudios Ingleses",Pública / Propio,45,"6,21","10,4",92 %,240,"10,31 €" 
"Universidad de Valladolid","Facultad de Ciencias Económicas y Empresariales","Grado en Marketing e Investigación de Mercados",Pública / Propio,60,"6,204","9,24",70 %,240,"14,05 €" 
"Universitat de València (Estudi General)","Escuela Técnica Superior de Ingeniería","Grado en Ingeniería Telemática",Pública / Propio,64,"6,2",7,58 %,240,"20,27 €" 
"Universidad de La Rioja","Facultad de Ciencia y Tecnología de la Universidad de La Rioja",Grado en Enología,Pública / Propio,25,"6,197","7,06",73 %,240,"21,21 €" 
Universidad de Jaén,"Facultad de Humanidades y Ciencias de la Educación","Grado en Educación Social",Pública / Propio,75,"6,196","7,6",94 %,240,"12,62 €" 
"Universidad Autónoma de Barcelona","Facultad de Filosofía y Letras","Grado en Estudios de Inglés y Español",Pública / Propio,30,"6,193","9,37",79 %,240,"25,27 €" 
"Universidad Rovira i Virgili","Facultad de Ciencias Jurídicas","Grado en Trabajo Social",Pública / Propio,85,"6,19","7,95",89 %,240,"25,27 €" 
Universidad de Oviedo,"Escuela Politécnica de Mieres","Grado en Ingeniería Civil",Pública / Propio,50,"6,184","7,13",68 %,240,"12,30 €" 
Universidad de León,Facultad de Educación,"Grado en Educación Primaria",Pública / Propio,120,"6,18","8,61",86 %,240,"19,07 €" 
Universidad de Vigo,"Escuela de Ingeniería Industrial","Grado en Ingeniería en Electrónica Industrial y Automática",Pública / Propio,79,"6,176","10,08",58 %,240,"13,93 €" 
"Universidad Politécnica de Catalunya",Facultad de Náutica,"Grado en Náutica y Transporte Marítimo",Pública / Propio,50,"6,174","8,2",88 %,240,"39,53 €" 
"Universidad de Las Palmas de Gran Canaria","Facultad de Economía, Empresa y Turismo",Grado en Turismo,Pública / Propio,140,"6,171","8,1",72 %,240,"10,16 €" 
"Universidad de Granada","Facultad de Filosofía y Letras",Grado en Historia,Pública / Propio,150,"6,17","8,65",73 %,240,"12,62 €" 
Universidad de Almería,Facultad de Psicología,Grado en Psicología,Pública / Propio,150,"6,167","7,92",77 %,240,"12,62 €" 
"Universidad de La Laguna","Escuela Superior de Ingeniería y Tecnología","Grado en Ingeniería Mecánica",Pública / Propio,80,"6,161","8,86",61 %,240,"14,59 €" 
Universidad de Murcia,Facultad de Filosofía,Grado en Filosofía,Pública / Propio,60,"6,16","9,41",68 %,240,"14,38 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Móstoles","Grado en Economía Financiera y Actuarial",Pública / Propio,45,"6,152","7,07",71 %,240,"21,39 €" 
"Universidad de Granada","Facultad de Ciencias de la Educación",Grado en Pedagogía,Pública / Propio,135,"6,151","7,58",89 %,240,"12,62 €" 
"Universidad de Zaragoza","Facultad de Filosofía y Letras","Grado en Estudios Ingleses",Pública / Propio,100,"6,15","9,95",76 %,240,"13,70 €" 
"Universidad de Cantabria","Facultad de Ciencias Económicas y Empresariales",Grado en Economía,Pública / Propio,120,"6,15","8,81",68 %,240,"11,14 €" 
Universidad de León,"Facultad de Ciencias Económicas y Empresariales","Grado en Marketing e Investigación de Mercados (MIM)",Pública / Propio,50,"6,15",9,75 %,240,"14,05 €" 
"Universitat Politècnica de València","Escuela Politécnica Superior de Alcoy","Grado en Ingeniería Mecánica",Pública / Propio,110,"6,15","8,22",85 %,240,"20,27 €" 
"Universidad Miguel Hernández de Elche","Facultad de Ciencias Sociales y Jurídicas","Grado en Seguridad Pública y Privada",Pública / Propio,100,"6,14","6,78",,240,"14,96 €" 
"Universidad de Extremadura","Centro Universitario de Mérida","Grado en Ingeniería Telemática en Telecomunicación",Pública / Propio,30,"6,13",n/d,58 %,240,"16,83 €" 
"Universidad Jaume I de Castellón","Facultad de Ciencias Jurídicas y Económicas",Grado en Turismo,Pública / Propio,90,"6,13","7,72",73 %,240,"16,41 €" 
